Narrative	Subnarrative	Description
Criticism of climate movement	Climate movement is corrupt	The climate movement and scientists are corrupt and alarmist.  
Criticism of climate movement	Climate movement is corrupt	The climate movement is dishonest and make people worry for no reason. 
Criticism of climate movement	Climate movement is corrupt	Climate activists are radical and communist.
Criticism of climate movement	Ad hominem attacks on key activists	Greta Thunberg has Asperger's syndrome and can therefore not be trusted. 
Criticism of climate movement	Ad hominem attacks on key activists	Greta Thunberg is a puppet and her ideas are not her own. 
Criticism of climate movement	Ad hominem attacks on key activists	Greta Thunberg is part of the Antifa.
Controversy about green technologies	Renewable energy is dangerous	The construction of renewable energy sources damages the land and destroys plants. 
Controversy about green technologies	Renewable energy is dangerous	Renewable energy affects biodiversity negatively. 
Controversy about green technologies	Renewable energy is dangerous	Solar panels take up a lot of space and drive animals out of their habitat. 
Controversy about green technologies	Renewable energy is dangerous	The material of solar panels and wind turbines is poisonous. 
Controversy about green technologies	Renewable energy is unreliable	You cannot produce enough energy with renewable energy. 
Controversy about green technologies	Renewable energy is unreliable	Sun and wind are no reliable energy sources.
Controversy about green technologies	Renewable energy is unreliable	By using only renewable energy the chances of a total blackout are high.
Controversy about green technologies	Renewable energy is costly	Renewable energy raises taxes and energy prices for the citizens. Renewable energy will have to be paid by the citizens.
Controversy about green technologies	Renewable energy is costly	Renewable energy costs too much. 
Controversy about green technologies	Nuclear energy is not climate friendly	Nuclear power poses serious contamination risks for the environment. 
Controversy about green technologies	Nuclear energy is not climate friendly	Nuclear energy generates big amounts of toxic waste. 
Hidden plots by secret schemes of powerful groups 	Blaming global elites	The global elite is plotting a scheme against the common people for their own benefit. 
Hidden plots by secret schemes of powerful groups 	Blaming global elites	The WEF forces their green agenda on people without considering the costs. 
Hidden plots by secret schemes of powerful groups 	Blaming global elites	The global elite is hiding information on climate change from the public.
Hidden plots by secret schemes of powerful groups	Climate agenda has hidden motives	Climate advocacy is driven by hidden agendas unrelated to genuine environmental protection. 
Amplifying Climate Fears	Earth will be uninhabitable soon	In a few years we will not be able to live on this planet anymore. The human race is going to be extinct soon due to climate change. 
Amplifying Climate Fears	Amplifying existing fears of global warming	We should prepare for a catastrophic outcome due to climate change. 
Amplifying Climate Fears	Amplifying existing fears of global warming	Everything will deteriorate soon due to climate change.
Amplifying Climate Fears	Amplifying existing fears of global warming	The sea levels are rising and there is nothing we can do about it.
Amplifying Climate Fears	Doomsday scenarios for humans	We are all going to die soon because of climate change. 
Amplifying Climate Fears	Doomsday scenarios for humans	The fight for water will cause terrible scenarios all over the world.  
Amplifying Climate Fears	Whatever we do it is already too late	It doesn't matter what we do, we cannot stop the climate change. Nothing that we do now will make a difference to global warming. 
Green policies are geopolitical instruments	Climate-related international relations are abusive/exploitative	Climate policy is just a way for rich governments to make costly rules for poorer countries and make more money.
Green policies are geopolitical instruments	Green activities are a form of neo-colonialism	Through the green colonialism continents Green colonialism leads to the environmental destruction in the Global South. 
Green policies are geopolitical instruments	Green activities are a form of neo-colonialism	Sustainable energy productions threaten Indigenous land and people.  
