Narrative	Subnarrative	Description
Negative Consequences for the West	Sanctions imposed by Western countries will backfire	Sanctions created a global food crisis, fuel and energy issues, and a hit on the petro-dollar financial status system.
Negative Consequences for the West	The conflict will increase the Ukrainian refugee flows to Europe	Just like the energy issue, Ukrainian refugees will be a serious problem for Europe, which is unable to deal with Arab refugees.
Distrust towards Media	Western media is an instrument of propaganda	Inhumane acts committed by the Ukrainian army are not reported by the media.
Distrust towards Media	Western media is an instrument of propaganda	American media are getting richer from waging Russophobia, that is why they continue.
Distrust towards Media	Western media is an instrument of propaganda	Media publish reports on the war in Ukraine without strong evidence.
Distrust towards Media	Western media is an instrument of propaganda	Anti-Russian propaganda of Western media is based on lies and provocations.
Distrust towards Media	Western media is an instrument of propaganda	Western Press Turns into a Propaganda Machine reporting about the Malaysian Boeing Crash.
Distrust towards Media	Ukrainian media cannot be trusted	Ukrainian media is full of anti-Russian sentiments.
Distrust towards Media	Ukrainian media cannot be trusted	Under the Zelensky administration TV stations have been taken off the air and censored. The Ukrainian government tries to suppress inconvenient truths.
Distrust towards Media	Ukrainian media cannot be trusted	Ukrainian video footage from Bucha cannot be trusted.
Distrust towards Media	Ukrainian media cannot be trusted	Ukrainian news is impossible to watch because of the stream of lies they feed the citizens of the state.
Amplifying war-related fears	By continuing the war we risk WWIII	The people who could actually intervene understand that doing so in Ukraine in any meaningfully active capacity is courting WWIII.
Amplifying war-related fears	By continuing the war we risk WWIII	The number of idiots in charge in the West is growing and they are pushing us towards World War III.
Amplifying war-related fears	By continuing the war we risk WWIII	Globalists' Plan B is World War III.
Amplifying war-related fears	By continuing the war we risk WWIII	Political elites will plunge the continents into World War III with the aim of destroying healthy normal men as bearers of traditional family values.
Amplifying war-related fears	By continuing the war we risk WWIII	The US is deliberately provoking World War III to save its economy.
Amplifying war-related fears	Russia will also attack other countries	If Ukraine falls, then the rest of Europe will fall under the heel of the Russian bear, like dominoes.
Amplifying war-related fears	Russia will also attack other countries	If Russia takes over Ukraine next in line will be a NATO country and then we are looking at a major war.
Amplifying war-related fears	There is a real possibility that nuclear weapons will be employed	The West is pushing Russia towards its red line, leaving Moscow no choice but to respond with nuclear weapon.
Amplifying war-related fears	NATO should/will directly intervene	This will be a war between the West and Russia, and Russia will back down because at the end of the proverbial day, it knows that unless it’s current bluffs work (which they won’t), they can’t win.
Amplifying war-related fears	NATO should/will directly intervene	The United States and NATO should intervene in this crisis because Putin is on the verge of nuclear war.
Hidden plots by secret schemes of powerful groups	Other	Russia wants to sell its oil in euros and the US wants them to sell it in USD.
Hidden plots by secret schemes of powerful groups	Other	If we in the West do not support the Ukrainians and allow the Ukraine to fall to Russia, authoritarian States will have a larger foothold on the country that supplies a large enough portion of the world's food supply to affect the international food market.
